NAME,LINK,TYPE,FROM
SKILLET CHICKEN THIGHS WITH MUSHROOM GRAVY,https://www.instagram.com/p/C0g-7xfvOV1/?igshid=N2ViNmM2MDRjNw==,,
Pindi Chana,https://www.instagram.com/reel/C0q0r4nLkyT/?igshid=N2ViNmM2MDRjNw==,,
Garlic Butter Fettuccine and Shrimp ,https://www.instagram.com/reel/Cy06M2uOlaQ/?igshid=N2ViNmM2MDRjNw==,,
Chicken wings in spicy cream sauce,https://www.instagram.com/reel/C0UMQ47MoDL/?igshid=N2ViNmM2MDRjNw==,,
Desi Cheesy Garlic Bread,https://www.instagram.com/reel/C0gFCssoT5p/?igshid=N2ViNmM2MDRjNw==,,
Easy Mushroom Pasta ,https://www.instagram.com/reel/CxKFrLBCKWV/?igshid=N2ViNmM2MDRjNw==,,
Hyderabadi shadi wala red chicken,https://www.instagram.com/reel/C0ogKyXBUVS/?igshid=N2ViNmM2MDRjNw==,,
Green Chutney,https://www.instagram.com/reel/CzknXjrP6hh/?igshid=N2ViNmM2MDRjNw==,,
CRUNCHY BAKED CAULIFLOWER,https://www.instagram.com/reel/CzG0_OJu_gt/?igshid=N2ViNmM2MDRjNw==,,
Karahi Gosht,https://www.instagram.com/reel/CxNjY_Go3Pj/?igshid=N2ViNmM2MDRjNw==,,
GREEN GODDESS DIP,https://www.instagram.com/reel/CyOaLWuqMKA/?igshid=N2ViNmM2MDRjNw==,,
Maggie,https://www.instagram.com/p/C0gqN4kPsLT/?igshid=N2ViNmM2MDRjNw==,,
All purpose gravy,https://www.facebook.com/share/r/Woyt6nf29o18bb8h/?mibextid=UalRPS,,
Manchow soup,https://www.facebook.com/share/r/81ENUXQB4n9RFwjM/?mibextid=UalRPS,,
Nawabi Chicken Korma,https://www.instagram.com/reel/CxF6PIBIVuX/?igshid=N2ViNmM2MDRjNw==,,
Butter,https://www.instagram.com/reel/Cz99bfHSB8P/?igshid=N2ViNmM2MDRjNw==,,
Lasooni Methi,https://www.instagram.com/reel/CwiQyUaoUap/?igshid=MzRlODBiNWFlZA==,,
Mongolian Chicken,https://www.instagram.com/reel/CyD0JEWrtg8/?igshid=MzRlODBiNWFlZA==,,
Butter Garlic Shrimp,https://www.instagram.com/reel/CxCql61yZOS/?igshid=MzRlODBiNWFlZA==,,
Shrimp with Creamy Garlic Sauce ,https://www.instagram.com/reel/CwqibOyPmQW/?igshid=MzRlODBiNWFlZA==,,
Bagara rice,https://www.instagram.com/reel/Cy0dtLLPoWn/?igshid=MzRlODBiNWFlZA==,,
Energy drink,https://www.instagram.com/reel/Cyatx0etbwr/?igshid=MzRlODBiNWFlZA==,,
Peanut Salad,https://www.instagram.com/reel/CydXAopNFjd/?igshid=MzRlODBiNWFlZA==,,
Dum Aloo,https://www.facebook.com/reel/293477603457522?fs=e&s=TIeQ9V&mibextid=Y5dkib,,
Jamison ka ghosla,https://www.instagram.com/reel/CvwNkl3Mmsb/?igshid=MzRlODBiNWFlZA==,,
Fruit salad,https://www.facebook.com/reel/179218131786524?fs=e&s=TIeQ9V&mibextid=mVyxMt,,
Dhaba style Kaju Masala,https://www.instagram.com/reel/CtLlYGBIYeG/?igshid=MzRlODBiNWFlZA==,,
Shimla Mirch Masala,https://www.instagram.com/reel/CySawexP23N/?igshid=MzRlODBiNWFlZA==,,
Chicken Marsala,https://www.instagram.com/reel/C4N4ECgNXJJ/?igsh=MW1vZ29jMmJzdGxqNA==,,
Kulche,https://www.instagram.com/reel/C4OOQCTLz-i/?igsh=MTFmanE0ZDU0eWdrMw==,,
Shejuwan chutney,https://www.instagram.com/reel/C1w6VURNzp5/?igsh=MXVsczluNG10cHJydA==,,
Shejuwan chutney 2,https://www.instagram.com/reel/C4HuDRILSAu/?igsh=dXNnZ3Rja3dyaHVk,,
Chicken Palav,https://www.instagram.com/reel/C3hNiTjoyGQ/?igsh=NTE4eW1majVtZnc4,,
Circular samosa,https://www.instagram.com/reel/C37JYKvIyZf/?igsh=NTlhYjdwaWM2Z3Np,,
Kaju Masala,https://www.instagram.com/reel/C37dPTcv_Q-/?igsh=ZWk0MXl0YnpjbWk3,,
Choumain,https://www.instagram.com/reel/C1nYOcpPzxx/?igsh=MW41dzc2enVrendhOA==,,
,,,
,,,
,,,
Gravy,https://www.instagram.com/reel/C3xGSLjxGDZ/?igsh=YjgzbW83eW91Yzk3,,
,,,
,,,
,,,
Tomato Roti Pachadi,https://www.instagram.com/reel/C3rkso8MyPx/?igsh=ODF4czRrM2c2OGo1,,
,,,
,,,
,,,
Rasam,https://www.instagram.com/reel/C3zOXpUs5QT/?igsh=MThtbHFyajh1NWZqeA==,,
,,,
,,,
,,,
Mullangi pachadi,https://www.instagram.com/reel/C29HG6qNXr1/?igsh=MXVrbTd5b3ZranpiNQ==,,
,,,
,,,
,,,
PACHI TOMATO PACHADI,https://www.instagram.com/reel/C2eO0-qtltP/?igsh=a2w0YWFxeWloMzZn,,
,,,
,,,
,,,
Cauliflower Pachadi,https://www.instagram.com/reel/C0oBhJ7s6_8/?igsh=MTlxNGV0Yms4aXJjbg==,,
,,,
,,,
,,,
Kakarkay fry,https://www.instagram.com/reel/C0OWwBfsBkc/?igsh=MWJwcWdyb2hmbzRycw==,,
,,,
,,,
,,,
Garam Masala,https://www.instagram.com/reel/Czxi9GOo2a_/?igsh=MWcweTZ2eG16czBtZQ==,,
,,,
,,,
,,,
Vankay and Dosakay Pachadi,https://www.instagram.com/reel/CzVPDi4t6Js/?igsh=aGNteWZjd2JjdDJ3,,
,,,
,,,
,,,
Pappu Cary,https://www.instagram.com/reel/CzIY96gNckQ/?igsh=MTNxcm0xbzh1czRmeg==,,
,,,
,,,
,,,
Kandhi Podi,https://www.instagram.com/reel/CxmbXbCIHPM/?igsh=OG1vdGRnZHJiMGF4,,
,,,
,,,
,,,
Pasta Chips,https://www.instagram.com/reel/C3nIvKivkp6/?igsh=NXdtdTAycHBpYnc2,,
,,,
,,,
,,,
CRISPY FRIED POPCORN CHICKEN WITH PERIPERI MASALA,https://www.instagram.com/reel/C3u6LoABeGu/?igsh=b3d0dmN5a3VxNW53,,
,,,
,,,
,,,
Mushrooms curry,https://www.instagram.com/reel/C2gLtjlCQu1/?igsh=MW1nbmU4aWNwanJ0cA==,,
,,,
,,,
,,,
,,,
Pepper corn Sause,https://www.instagram.com/reel/C48ocstr5Wz/?igsh=cmxjMDQwdzJ3cTMw,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Aloo batani Kurma,https://www.instagram.com/reel/C39pvgUvSzk/?igsh=MTVoZ3FqMXd2NWRwNw==,,
,,,
,,,
,,,
Badhusha,https://www.instagram.com/reel/C40FvAQv9wX/?igsh=MXM5cDUwNjFzZGZ1bw==,,
,,,
,,,
,,,
Milk Shakes,https://www.instagram.com/reel/C4u7-S0LShR/?igsh=MWF5ZmU3dXpvcDEyNg==,,
,,,
,,,
,,,
Tusks. sauce chicken,https://www.instagram.com/reel/C4uBUdaxwr8/?igsh=MW1pa3RlMnE5MWJydA==,,
,,,
,,,
,,,
Garlic Mayonnaise,https://www.instagram.com/reel/C4qyUjYoZ4k/?igsh=bDdjM2llMjh6MDI0,,
,,,
,,,
,,,
Haleem,https://youtu.be/jYromGqXhwo?si=bX9F5vBIOlw86BSV,,
,,,
,,,
,,,
Chicken Karahi,https://www.instagram.com/reel/C4l1YNpSaz8/?igsh=aWpqcm03MmJ0Y3Fp,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Pizza Sandwiches,https://www.instagram.com/reel/C3X0pTfIJev/?igsh=MWN6ZWp5OWE1Zjl6MA==,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Garlic Mashroom,https://www.instagram.com/reel/C1yWdmcInGo/?igsh=d2ppbjM5bTlueTI3,,
,,,
,,,
,,,
Chicken Manchurian,https://www.instagram.com/p/C2rQhJmLBxq/?igsh=MWpwbzRvZDU1eDcxMA==,,
,,,
,,,
,,,
Soya paneer Kurma,https://www.instagram.com/reel/Cz5-IjLxRgq/?igsh=MWVmNjd2cmNmY2s1Zg==,,
,,,
,,,
,,,
Egg Sandwich,https://www.instagram.com/reel/C2tvf6IvGFd/?igsh=MXY0Z3NmOWF3NHJ2cA==,,
,,,
,,,
,,,
Butter garlic chicken,https://www.instagram.com/reel/C3P1Ttyp63C/?igsh=b3FvZGtzOTg1czZ6,,
,,,
,,,
,,,
Chicken and chips,https://www.instagram.com/p/C20txRjN5Mf/?igsh=Zm1zMnNybHh3bWU4,,
,,,
,,,
Fucacha,https://www.instagram.com/reel/C3SgCynJ8UM/?igsh=MWlmYWVsdDkwNDZocg==,,
,,,
,,,
,,,
Thai chicken,https://www.instagram.com/reel/C2-ARNJMqoM/?igsh=Zmk5ZjBwNDBhcXhx,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Podi,https://www.instagram.com/reel/C0ysZWRShra/?igsh=MWtrZ3Fud2czbGFkOQ==,,
,,,
,,,
,,,
Peri peri,https://www.instagram.com/reel/Cz261UKy8V5/?igsh=dml0azE5M2cxNHhm,,
,,,
,,,
,,,
Crispy chicken Vada,https://www.instagram.com/reel/C0Jt6SrPe8k/?igsh=MXI0Y2liOHpyNGEzNA==,,
,,,
,,,
,,,
,,,
Maggie,https://www.instagram.com/reel/C2t_PtmylAn/?igsh=MWF0emwxMXhrNDl2Yg==,,
,,,
,,,
,,,
Bread,https://www.instagram.com/reel/C1cZTiLo_T9/?igsh=ZGgwd2Z3NHh6cXl6,,
,,,
,,,
,,,
Shezuwan sauce,https://www.instagram.com/reel/C2o0UkTKe3j/?igsh=MXdmZGkzaHVsbGJjOA==,,
,,,
,,,
,,,
Crispy baby corn,https://www.instagram.com/reel/C2pWHScP8Kr/?igsh=a2tyMDU4eDIzMW4z,,
,,,
,,,
,,,
Creamy Spinach & Corn Dip,https://www.instagram.com/reel/C19TTBxSMqc/?igsh=MWZsM2V3cXpmcHA0Yw==,,
,,,
,,,
,,,
Mexican Salad,https://www.instagram.com/reel/C13-BZ2rVRJ/?igsh=MXNzc3k0bW5rNGkxNQ==,,
,,,
,,,
,,,
Cashew chicken,https://www.instagram.com/reel/C0WUGr1pMNi/?igsh=MTM0dTk1Ymo1eWozcQ==,,
,,,
,,,
,,,
Lasagna,https://www.instagram.com/reel/C1HjQp2uGL8/?igsh=MXQzaW85c2l2OWNoag==,,
,,,
,,,
,,,
Rasmalai Cake,https://www.instagram.com/reel/CzWH2R-B8_g/?igsh=MXRxMzdkbXlwNmF6bQ==,,
,,,
,,,
,,,
Crispy Paneer,https://www.instagram.com/reel/C11y8F-oGK0/?igsh=MThvZnpudmIwZXRwMQ==,,
,,,
,,,
,,,
Burfi,https://www.instagram.com/reel/C1oQNx0M7IZ/?igsh=MXQ4Z2s3ODF0N21lbw==,,
,,,
,,,
,,,
Kobbari Pachadi,https://www.instagram.com/reel/C1wUILnJKXo/?igsh=dGZqeDN0dzRueXU1,,
,,,
,,,
,,,
,,,
,,,
,,,
Dal Makhani,https://www.instagram.com/reel/CzvF7XdvjnU/?igsh=MTNub3g3MjJ4NzE5ZA==,,
,,,
,,,
,,,
Mysore Pak,https://www.instagram.com/reel/C0CFg60PBHK/?igsh=MWg3NGgwcGpja3E4MA==,,
,,,
,,,
,,,
Thiru Parthi Vada,https://www.instagram.com/reel/C1CYU8ZJ5SI/?igsh=ZTJwdTAzNmhtODRu,,
,,,
,,,
,,,
Katta meets,https://www.instagram.com/reel/Czaog5qBdD8/?igsh=MW1lcXR1cnc2OWNqZA==,,
,,,
,,,
,,,
Kandhi podi,https://www.instagram.com/reel/C0MDSr-v696/?igsh=MXY0bDN6dXRyOHdq,,
,,,
Vinegar Onion Masala Recipe,https://www.instagram.com/reel/C1humUavKNv/?igsh=YXQyY3l5cHYxajF5,,
,,,
Aalu Matar,https://www.instagram.com/reel/C1hM-APv0yD/?igsh=MXVnYmgwMm8xZDR4aQ==,,
,,,
,,,
,,,
,,,
,,,
Methi Chatman masala,https://www.instagram.com/reel/C1Mk18Nvd6z/?igsh=MXF0cXVpcHVqY3p0eQ==,,
,,,
,,,
,,,
Paneer Ghee roast,https://www.instagram.com/reel/C1V_T3jvDgC/?igsh=MWNqeGcwYXRzemszNQ==,,
,,,
,,,
,,,
Garlic Methi curry,https://www.instagram.com/reel/C0WcrPOJNlV/?igsh=MXIxcDlwd2RhbXUyag==,,
,,,
hariyali aanda tikka masala,https://www.facebook.com/share/r/MdVXPtGZwcD2em5o/?mibextid=7niigQ ,,
,,,
,,,
,,,
Paneer Afghanistan Burri,https://www.instagram.com/p/C1ZBEaWockk/?igsh=Zndndmh3OXQ3bnMw,,
,,,
,,,
,,,
Chilly oil,https://www.instagram.com/reel/CqA9GKsAJ7D/?igsh=aDNwcGJ6NXQzc3c0,,
,,,
,,,
,,,
Egg salad,https://www.instagram.com/reel/CwnNy8ege9O/?igsh=Y3lxdzQ2NzA2Zmk3,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Braised chicken thighs,https://www.facebook.com/reel/264019026695307?fs=e&s=TIeQ9V&mibextid=Xa0RJd ,,
,,,
,,,
,,,
Mongolian Chicken,https://www.facebook.com/reel/288114443649843?fs=e&s=TIeQ9V&mibextid=Xa0RJd,,
,,,
,,,
,,,
Masala Paw,https://www.instagram.com/p/C1WMQyDMxo8/?igsh=NHA0cTZ1aXkyZTU5,,
,,,
,,,
Garlic Parmesan Chicken Skewers,https://www.instagram.com/p/C1ViMmOIMvn/?igsh=enltYnBlanhnOGlp,,
,,,
,,,
,,,
Butter Chicken,https://www.facebook.com/share/r/ZPaZVd5MwwnKZErf/?mibextid=7niigQ,,
,,,
,,,
,,,
Shashi Aloo,https://www.instagram.com/p/C1MkIVMSEYQ/?igsh=MXJ1ZGV0YmdlMDlnZQ==,,
,,,
,,,
,,,
Dragon Chicken,https://www.facebook.com/share/r/rd9VLgBXjmL7xVpJ/?mibextid=7niigQ,,
,,,
,,,
,,,
Peri peri,https://www.instagram.com/reel/C1PBVAhvZ3q/?igsh=MTkzaXlkdm00eXlxMA==,,
,,,
,,,
,,,
Dynamite Shrimp,https://www.instagram.com/reel/C1CPnnCLB1H/?igsh=eG0xaXo4bjk0eXE1,,
,,,
,,,
Mysore Bonda,https://www.instagram.com/reel/C1KSjOUCVt0/?igsh=djg1ampnb2FraGhn,,
,,,
,,,
,,,
Pomogaranatr Mojito,https://www.instagram.com/reel/CzGwVcyPhcz/?igsh=MXZwOXZtYjZncHVhbw==,,
,,,
,,,
,,,
Mushroom Ghee Roast,https://www.instagram.com/reel/C1L6kGHoODK/?igsh=MTdwcTV2bWZqanp6dA==,,
,,,
,,,
,,,
Cranberry chees nuts,https://www.instagram.com/reel/C1KiuFNoJTr/?igsh=Yjg2Y3NwN3kzN2ln,,
,,,
,,,
,,,
Veg Lasagna,https://www.instagram.com/reel/C1AN3kYJirG/?igsh=bHh1dXJiOTNueDh2,,
,,,
,,,
,,,
Karelia Fry,https://www.instagram.com/reel/CzLad1zy6qk/?igsh=YTAxZzBjcGlpNXFs,,
,,,
,,,
,,,
Crispy egg salad,https://www.instagram.com/reel/CyipBgdO9T5/?igsh=anFvZGIyM2pmcW0z,,
,,,
,,,
,,,
Italian Brushetta,https://www.instagram.com/reel/C1HzMwCvlOQ/?igsh=MW5vbTF6eXFmY3J3bw==,,
,,,
,,,
,,,
Potatoes stuffed Mirchi Bajji,https://www.instagram.com/reel/C03-a1CSKFL/?igsh=MXNmOXg4ZmM5ZDQyYQ==,,
,,,
,,,
,,,
Walnut Halwa,https://www.instagram.com/reel/C1E6jI7y_Kv/?igsh=MWh2Ym1rcDg1YjYzdg==,,
,,,
,,,
,,,
Onion Pakodi,https://www.instagram.com/reel/C1FekfrybDG/?igsh=MWp0MDFyNW8zZWV3bQ==,,
,,,
,,,
,,,
Hyderabad’s style chicken,https://www.instagram.com/reel/C0oZjtCpYc0/?igsh=MWhmejZ1dHcxNnl6Zw==,,
,,,
,,,
,,,
,,,
Milk cake,https://www.instagram.com/reel/C0vk0SdMDYe/?igsh=MTY1ZmV1eWNmejhzOQ==,,
