NAME,LINK,FROM,CUISINE
Crunchy Baked Cauliflower,https://www.instagram.com/reel/CzG0_OJu_gt/?igshid=N2ViNmM2MDRjNw==,Instagram,None
Karahi Gosht,https://www.instagram.com/reel/CxNjY_Go3Pj/?igshid=N2ViNmM2MDRjNw==,Instagram,None
Green Goddess Dip,https://www.instagram.com/reel/CyOaLWuqMKA/?igshid=N2ViNmM2MDRjNw==,Instagram,None
Maggie,https://www.instagram.com/p/C0gqN4kPsLT/?igshid=N2ViNmM2MDRjNw==,Instagram,None
All Purpose Gravy,https://www.facebook.com/share/r/Woyt6nf29o18bb8h/?mibextid=UalRPS,Facebook,None
Manchow Soup,https://www.facebook.com/share/r/81ENUXQB4n9RFwjM/?mibextid=UalRPS,Facebook,None
Nawabi Chicken Korma,https://www.instagram.com/reel/CxF6PIBIVuX/?igshid=N2ViNmM2MDRjNw==,Instagram,None
Butter,https://www.instagram.com/reel/Cz99bfHSB8P/?igshid=N2ViNmM2MDRjNw==,Instagram,None
Lasooni Methi,https://www.instagram.com/reel/CwiQyUaoUap/?igshid=MzRlODBiNWFlZA==,Instagram,None
Mongolian Chicken,https://www.instagram.com/reel/CyD0JEWrtg8/?igshid=MzRlODBiNWFlZA==,Instagram,None
Butter Garlic Shrimp,https://www.instagram.com/reel/CxCql61yZOS/?igshid=MzRlODBiNWFlZA==,Instagram,None
Shrimp With Creamy Garlic Sauce ,https://www.instagram.com/reel/CwqibOyPmQW/?igshid=MzRlODBiNWFlZA==,Instagram,None
Bagara Rice,https://www.instagram.com/reel/Cy0dtLLPoWn/?igshid=MzRlODBiNWFlZA==,Instagram,None
Energy Drink,https://www.instagram.com/reel/Cyatx0etbwr/?igshid=MzRlODBiNWFlZA==,Instagram,None
Peanut Salad,https://www.instagram.com/reel/CydXAopNFjd/?igshid=MzRlODBiNWFlZA==,Instagram,None
Dum Aloo,https://www.facebook.com/reel/293477603457522?fs=e&s=TIeQ9V&mibextid=Y5dkib,Facebook,None
Jamison Ka Ghosla,https://www.instagram.com/reel/CvwNkl3Mmsb/?igshid=MzRlODBiNWFlZA==,Instagram,None
Fruit Salad,https://www.facebook.com/reel/179218131786524?fs=e&s=TIeQ9V&mibextid=mVyxMt,Facebook,None
Dhaba Style Kaju Masala,https://www.instagram.com/reel/CtLlYGBIYeG/?igshid=MzRlODBiNWFlZA==,Instagram,None
Shimla Mirch Masala,https://www.instagram.com/reel/CySawexP23N/?igshid=MzRlODBiNWFlZA==,Instagram,None
Chicken Marsala,https://www.instagram.com/reel/C4N4ECgNXJJ/?igsh=MW1vZ29jMmJzdGxqNA==,Instagram,None
Kulche,https://www.instagram.com/reel/C4OOQCTLz-i/?igsh=MTFmanE0ZDU0eWdrMw==,Instagram,None
Shejuwan Chutney,https://www.instagram.com/reel/C1w6VURNzp5/?igsh=MXVsczluNG10cHJydA==,Instagram,None
Shejuwan Chutney 2,https://www.instagram.com/reel/C4HuDRILSAu/?igsh=dXNnZ3Rja3dyaHVk,Instagram,None
Chicken Palav,https://www.instagram.com/reel/C3hNiTjoyGQ/?igsh=NTE4eW1majVtZnc4,Instagram,None
Circular Samosa,https://www.instagram.com/reel/C37JYKvIyZf/?igsh=NTlhYjdwaWM2Z3Np,Instagram,None
Kaju Masala,https://www.instagram.com/reel/C37dPTcv_Q-/?igsh=ZWk0MXl0YnpjbWk3,Instagram,None
Choumain,https://www.instagram.com/reel/C1nYOcpPzxx/?igsh=MW41dzc2enVrendhOA==,Instagram,None
Gravy,https://www.instagram.com/reel/C3xGSLjxGDZ/?igsh=YjgzbW83eW91Yzk3,Instagram,None
Tomato Roti Pachadi,https://www.instagram.com/reel/C3rkso8MyPx/?igsh=ODF4czRrM2c2OGo1,Instagram,None
Rasam,https://www.instagram.com/reel/C3zOXpUs5QT/?igsh=MThtbHFyajh1NWZqeA==,Instagram,None
Mullangi Pachadi,https://www.instagram.com/reel/C29HG6qNXr1/?igsh=MXVrbTd5b3ZranpiNQ==,Instagram,None
Pachi Tomato Pachadi,https://www.instagram.com/reel/C2eO0-qtltP/?igsh=a2w0YWFxeWloMzZn,Instagram,None
Cauliflower Pachadi,https://www.instagram.com/reel/C0oBhJ7s6_8/?igsh=MTlxNGV0Yms4aXJjbg==,Instagram,None
Kakarkay Fry,https://www.instagram.com/reel/C0OWwBfsBkc/?igsh=MWJwcWdyb2hmbzRycw==,Instagram,None
Garam Masala,https://www.instagram.com/reel/Czxi9GOo2a_/?igsh=MWcweTZ2eG16czBtZQ==,Instagram,None
Vankay And Dosakay Pachadi,https://www.instagram.com/reel/CzVPDi4t6Js/?igsh=aGNteWZjd2JjdDJ3,Instagram,None
Pappu Cary,https://www.instagram.com/reel/CzIY96gNckQ/?igsh=MTNxcm0xbzh1czRmeg==,Instagram,None
Kandhi Podi,https://www.instagram.com/reel/CxmbXbCIHPM/?igsh=OG1vdGRnZHJiMGF4,Instagram,None
Pasta Chips,https://www.instagram.com/reel/C3nIvKivkp6/?igsh=NXdtdTAycHBpYnc2,Instagram,None
Crispy Fried Popcorn Chicken With Periperi Masala,https://www.instagram.com/reel/C3u6LoABeGu/?igsh=b3d0dmN5a3VxNW53,Instagram,None
Mushrooms Curry,https://www.instagram.com/reel/C2gLtjlCQu1/?igsh=MW1nbmU4aWNwanJ0cA==,Instagram,None
Pepper Corn Sause,https://www.instagram.com/reel/C48ocstr5Wz/?igsh=cmxjMDQwdzJ3cTMw,Instagram,None
Aloo Batani Kurma,https://www.instagram.com/reel/C39pvgUvSzk/?igsh=MTVoZ3FqMXd2NWRwNw==,Instagram,None
Badhusha,https://www.instagram.com/reel/C40FvAQv9wX/?igsh=MXM5cDUwNjFzZGZ1bw==,Instagram,None
Milk Shakes,https://www.instagram.com/reel/C4u7-S0LShR/?igsh=MWF5ZmU3dXpvcDEyNg==,Instagram,None
Tusks. Sauce Chicken,https://www.instagram.com/reel/C4uBUdaxwr8/?igsh=MW1pa3RlMnE5MWJydA==,Instagram,None
Garlic Mayonnaise,https://www.instagram.com/reel/C4qyUjYoZ4k/?igsh=bDdjM2llMjh6MDI0,Instagram,None
Haleem,https://youtu.be/jYromGqXhwo?si=bX9F5vBIOlw86BSV,Youtube,None
Chicken Karahi,https://www.instagram.com/reel/C4l1YNpSaz8/?igsh=aWpqcm03MmJ0Y3Fp,Instagram,None
Pizza Sandwiches,https://www.instagram.com/reel/C3X0pTfIJev/?igsh=MWN6ZWp5OWE1Zjl6MA==,Instagram,None
Garlic Mashroom,https://www.instagram.com/reel/C1yWdmcInGo/?igsh=d2ppbjM5bTlueTI3,Instagram,None
Chicken Manchurian,https://www.instagram.com/p/C2rQhJmLBxq/?igsh=MWpwbzRvZDU1eDcxMA==,Instagram,None
Soya Paneer Kurma,https://www.instagram.com/reel/Cz5-IjLxRgq/?igsh=MWVmNjd2cmNmY2s1Zg==,Instagram,None
Egg Sandwich,https://www.instagram.com/reel/C2tvf6IvGFd/?igsh=MXY0Z3NmOWF3NHJ2cA==,Instagram,None
Butter Garlic Chicken,https://www.instagram.com/reel/C3P1Ttyp63C/?igsh=b3FvZGtzOTg1czZ6,Instagram,None
Chicken And Chips,https://www.instagram.com/p/C20txRjN5Mf/?igsh=Zm1zMnNybHh3bWU4,Instagram,None
Fucacha,https://www.instagram.com/reel/C3SgCynJ8UM/?igsh=MWlmYWVsdDkwNDZocg==,Instagram,None
Thai Chicken,https://www.instagram.com/reel/C2-ARNJMqoM/?igsh=Zmk5ZjBwNDBhcXhx,Instagram,None
Podi,https://www.instagram.com/reel/C0ysZWRShra/?igsh=MWtrZ3Fud2czbGFkOQ==,Instagram,None
Peri Peri,https://www.instagram.com/reel/Cz261UKy8V5/?igsh=dml0azE5M2cxNHhm,Instagram,None
Crispy Chicken Vada,https://www.instagram.com/reel/C0Jt6SrPe8k/?igsh=MXI0Y2liOHpyNGEzNA==,Instagram,None
Maggie,https://www.instagram.com/reel/C2t_PtmylAn/?igsh=MWF0emwxMXhrNDl2Yg==,Instagram,None
Bread,https://www.instagram.com/reel/C1cZTiLo_T9/?igsh=ZGgwd2Z3NHh6cXl6,Instagram,None
Shezuwan Sauce,https://www.instagram.com/reel/C2o0UkTKe3j/?igsh=MXdmZGkzaHVsbGJjOA==,Instagram,None
Crispy Baby Corn,https://www.instagram.com/reel/C2pWHScP8Kr/?igsh=a2tyMDU4eDIzMW4z,Instagram,None
Creamy Spinach & Corn Dip,https://www.instagram.com/reel/C19TTBxSMqc/?igsh=MWZsM2V3cXpmcHA0Yw==,Instagram,None
Mexican Salad,https://www.instagram.com/reel/C13-BZ2rVRJ/?igsh=MXNzc3k0bW5rNGkxNQ==,Instagram,None
Cashew Chicken,https://www.instagram.com/reel/C0WUGr1pMNi/?igsh=MTM0dTk1Ymo1eWozcQ==,Instagram,None
